,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
456,0.7283247947692871,0.028871100640203325,0.04419517517089844,0.00535804318681179,1.0,1.5,7,10,0.6,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.6}",0.6572244431753284,0.6524271844660194,0.6466019417475728,0.6525414049114792,0.6509024445967557,0.6519394837794311,0.0034086877836917106,211
457,0.8683786869049073,0.024512079173824575,0.04891061782836914,0.003842058478716966,1.0,1.5,7,10,0.8,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.8}",0.6572244431753284,0.6524271844660194,0.6466019417475728,0.6525414049114792,0.6509024445967557,0.6519394837794311,0.0034086877836917106,211
458,0.7922959804534913,0.0975015791022363,0.0454524040222168,0.002821150673743345,1.0,1.5,7,10,1.0,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 1.0}",0.6572244431753284,0.6524271844660194,0.6466019417475728,0.6525414049114792,0.6509024445967557,0.6519394837794311,0.0034086877836917106,211
459,0.7492984771728516,0.007321904498852876,0.041716575622558594,0.0009246455184533673,1.0,1.5,10,1,0.6,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.6}",0.6547115933752141,0.653455168475157,0.6471730439748715,0.655625356938892,0.6490747087045922,0.6520079742937454,0.0033006054760506527,196
460,0.7586863040924072,0.027139341925226875,0.04180788993835449,0.001996946527832717,1.0,1.5,10,1,0.8,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.8}",0.6547115933752141,0.653455168475157,0.6471730439748715,0.655625356938892,0.6490747087045922,0.6520079742937454,0.0033006054760506527,196
461,0.8907592296600342,0.1395882538248273,0.04537701606750488,0.0057336040231363425,1.0,1.5,10,1,1.0,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 1.0}",0.6547115933752141,0.653455168475157,0.6471730439748715,0.655625356938892,0.6490747087045922,0.6520079742937454,0.0033006054760506527,196
462,0.8230690002441406,0.03988855282531625,0.0445035457611084,0.001132051148637166,1.0,1.5,10,5,0.6,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.6}",0.6502569960022844,0.6532267275842376,0.6493432324386065,0.6589377498572244,0.6472469728124286,0.6518023357389563,0.004052890872056527,226
463,0.860333251953125,0.14455724715632046,0.045565032958984376,0.004104067716076385,1.0,1.5,10,5,0.8,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8}",0.6502569960022844,0.6532267275842376,0.6493432324386065,0.6589377498572244,0.6472469728124286,0.6518023357389563,0.004052890872056527,226
464,0.8242235660552979,0.036670495326438915,0.044921159744262695,0.002383989697975359,1.0,1.5,10,5,1.0,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 1.0}",0.6502569960022844,0.6532267275842376,0.6493432324386065,0.6589377498572244,0.6472469728124286,0.6518023357389563,0.004052890872056527,226
465,0.8319404125213623,0.09564539521199113,0.04373021125793457,0.0014742132082118057,1.0,1.5,10,10,0.6,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.6}",0.6574528840662479,0.6471730439748715,0.6503712164477441,0.6510565391205025,0.6497601096641535,0.651162758654704,0.003408481971932913,271
